epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2918.27,1.7451,1.40517,1.45558,0.62347,0.5573,0.57987,0.23605,1.99156,1.40043,1.58944,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3017.07,1.72701,1.39592,1.43507,0.63943,0.51597,0.56506,0.23586,1.98286,1.41171,1.59405,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3120.02,1.72973,1.3766,1.43683,0.63461,0.56178,0.57292,0.23262,1.98003,1.4087,1.58756,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3214.22,1.73375,1.36733,1.43764,0.59213,0.54519,0.56178,0.22864,1.98,1.42781,1.58029,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3303.69,1.71288,1.35576,1.4358,0.60669,0.5825,0.57942,0.24166,2.00739,1.3819,1.62244,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3394.67,1.69785,1.34319,1.42596,0.60296,0.54768,0.56506,0.24245,2.0034,1.40714,1.59095,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3487.03,1.73028,1.36966,1.43698,0.65222,0.55901,0.57964,0.2447,1.92938,1.3663,1.55945,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,3579.19,1.71869,1.33952,1.4362,0.62895,0.55471,0.5853,0.24419,1.97644,1.38688,1.57883,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,3671.21,1.70226,1.32536,1.41292,0.59086,0.55668,0.56321,0.23935,1.98931,1.41439,1.59999,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,3761.6,1.69006,1.2999,1.42665,0.59795,0.59311,0.58802,0.24641,1.95909,1.33507,1.56188,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,3852.01,1.69308,1.29295,1.41468,0.63462,0.52876,0.56684,0.234,2.00627,1.42428,1.57704,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,3944.3,1.69066,1.2985,1.41614,0.61869,0.57754,0.59146,0.25213,1.97088,1.36256,1.57344,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4038.87,1.68524,1.28869,1.41646,0.58971,0.56118,0.56539,0.23651,1.97742,1.36742,1.58988,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4130.2,1.68642,1.28154,1.41064,0.62197,0.58161,0.60542,0.25135,1.97193,1.32483,1.57117,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4222.78,1.66253,1.25896,1.40133,0.58826,0.56158,0.56905,0.23842,1.97039,1.34944,1.56412,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4315.54,1.65972,1.25589,1.40129,0.57975,0.56906,0.55382,0.22743,2.01242,1.41587,1.62224,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,4406.94,1.66584,1.26201,1.40206,0.62242,0.57391,0.59109,0.2441,1.95444,1.33454,1.57633,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,4499.49,1.66587,1.26093,1.39909,0.61599,0.56874,0.58243,0.24024,1.98892,1.33343,1.59153,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4595.69,1.64895,1.24996,1.39212,0.62814,0.54623,0.57802,0.24316,1.98076,1.32481,1.59499,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4688.98,1.63365,1.22472,1.39396,0.62167,0.57421,0.5906,0.24894,1.95953,1.32058,1.59407,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4784.55,1.64192,1.22267,1.38575,0.66939,0.57912,0.60764,0.25181,1.96748,1.32095,1.58082,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4878.72,1.63583,1.20318,1.37828,0.63069,0.58731,0.59465,0.24166,2.00382,1.34381,1.60205,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4974.79,1.63161,1.21068,1.37291,0.628,0.56154,0.57932,0.23612,1.98846,1.32877,1.58195,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5067.82,1.62825,1.19926,1.38342,0.66472,0.54603,0.56552,0.22565,2.00995,1.36514,1.60533,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5160.29,1.63193,1.18939,1.37204,0.63647,0.57693,0.58299,0.24111,2.00238,1.31965,1.58473,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,5253.69,1.61946,1.18657,1.36859,0.63549,0.56518,0.57841,0.23256,1.99812,1.33715,1.59922,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
